   time in kHS23-Hrs by BySite     ,2023-11,Total
BR_CBPF,          2,          2
CA_SFU,          0,          0
CA_Victoria,          1,          1
CERN,         37,         37
CH_UNIBE-LHEP,          0,          0
CZ_FZU,        120,        120
ES_CIEMAT,          0,          0
ES_PIC,          6,          6
FR_CCIN2P3,          0,          0
IN_TIFR,          0,          0
IT_CNAF,          4,          4
NL_NIKHEF,          1,          1
NL_SURFsara,         62,         62
UK_Bristol,          5,          5
UK_Brunel,          4,          4
UK_Edinburgh,          0,          0
UK_Imperial,          1,          1
UK_Lancaster,          0,          0
UK_Liverpool,          1,          1
UK_Manchester,         39,         39
UK_Oxford,          2,          2
UK_QMUL,         73,         73
UK_RAL-PPD,         28,         28
UK_RAL-Tier1,          4,          4
UK_Sheffield,          7,          7
US_BNL,         38,         38
US_Colorado,          5,          5
US_FNAL-FermiGrid,        133,        133
US_FNAL-T1,         10,         10
US_Michigan,          0,          0
US_NERSC,         84,         84
US_NotreDame,          0,          0
US_PuertoRico,          0,          0
US_SU-ITS,          0,          0
US_Swan,          0,          0
US_UCSD,          2,          2
US_UChicago,          2,          2
US_UConn-HPC,          0,          0
US_WSU,          0,          0
US_Wisconsin,          8,          8
undefined,          1,          1
Total,        697,        697
